Nationality,Position,Date of Birth,Height,Name,Apps,Goals,Goals per Game,Shots,Shots on Target,Shot Acc.,Assists,Passes,Passes per Game,Chances Created,Crosses,Cross Acc.,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Successful Tackles,Blocked Shots,Interceptions,Clearances,Duels Won,Duels Lost,Aerials Won,Aerials Lost,50/50 Tackle Wins
England,Defender,23/10/1997 (23),183cm,Ezri Konsa Ngoyo,37,3,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,14/11/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Midfielder,21/12/1989 (31),189cm,Cheikhou Kouyaté,211,14,0.07,173,55,32%,10,"6,395",30.31,4,107,17%,25,1,255,16,462,66%,35,320,464,"1,381","1,135",590,449,129
Croatia,Midfielder,06/05/1994 (26),178cm,Mateo Kovacic,74,1,0.01,56,10,18%,6,"3,775",51.01,5,21,14%,11,0,45,0,119,61%,27,38,37,354,240,21,29,128
Czech Republic,Goalkeeper,17/05/2000,184cm,Matej Kovar,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Defender,02/08/1994 (26),184cm,Emil Krafth,21,0,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Midfielder,29/08/1995 (25),175cm,Filip Krovinovic,10,0,10,8,2,25%,0,356,35.6,0,11,45%,0,0,5,0,13,77%,3,4,2,39,30,8,10,8
France,Forward,28/05/1991 (29),175cm,Alexandre Lacazette,109,41,0.38,218,102,47%,16,"2,190",20.09,15,62,,,,,,,,,,,,,,,
England,Defender,05/08/2001,177cm,Ethan Laird,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,10/05/1988 (32),172cm,Adam Lallana,209,30,0.14,281,96,34%,29,"6,718",32.14,28,501,20%,17,0,151,59,327,75%,95,171,131,913,"1,123",125,265,218
Argentina,Midfielder,04/03/1992 (28),181cm,Erik Lamela,160,16,0.1,209,71,34%,23,"4,087",25.54,29,381,27%,27,0,218,28,251,74%,74,106,33,647,882,41,128,198
England,Defender,30/09/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,28/12/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,12/10/1990 (30),183cm,Henri Lansbury,13,0,13,3,0,3%,0,115,8.85,0,2,50%,1,0,5,1,7,43%,1,1,2,10,16,2,6,0
Argentina,Midfielder,15/02/1993 (27),167cm,Manuel Lanzini,129,21,0.16,199,63,32%,14,"5,203",40.33,19,258,25%,20,0,51,22,126,67%,57,121,31,544,525,22,63,258
France,Defender,27/05/1994 (26),191cm,Aymeric Laporte,63,4,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,01/01/2001,176cm,Yasser Larouci,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,11/11/1993 (27),188cm,Jamaal Lascelles,115,6,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/09/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Midfielder,24/03/1996,180cm,Valentino Lazaro,13,1,0.08,4,1,25%,0,170,13.08,0,13,31%,0,1,3,0,13,69%,1,3,3,25,27,2,6,8
France,Defender,11/10/1989 (31),185cm,Maxime Le Marchand,28,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,20/05/1991,189cm,Florian Lejeune,42,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,24/04/1999,182cm,Jonathan Leko,14,0,14,0,0,0%,2,65,4.64,1,13,15%,0,0,7,1,9,100%,0,6,3,36,48,0,6,18
Gabon,Midfielder,01/09/1993 (27),184cm,Mario Lemina,56,2,0.04,52,10,19%,2,"2,024",36.14,4,20,20%,8,0,69,3,122,67%,14,91,69,312,243,60,36,89
Germany,Goalkeeper,04/03/1992 (28),190cm,Bernd Leno,77,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,28/03/1994,185cm,Léo Bonatini,7,0,7,9,1,11%,1,57,8.14,0,4,,,,,,,,,,,,,,,
South Africa,Midfielder,18/09/1999 (21),175cm,Thakgalo Leshabela,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Wales,Midfielder,17/11/2000,180cm,Dylan Levitt,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Rwanda,Forward,16/06/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Defender,17/07/1994 (26),187cm,Victor Lindelöf,95,3,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,15/12/1992 (28),175cm,Jesse Lingard,133,18,0.14,178,69,39%,10,"3,536",26.59,18,121,16%,15,0,140,20,130,68%,53,52,34,358,526,19,100,96
England,Midfielder,14/11/1989 (31),181cm,Jake Livermore,188,7,0.04,131,32,24%,9,"7,007",37.27,11,60,18%,32,2,216,3,379,70%,41,234,171,662,702,116,147,82
Spain,Defender,16/08/1993 (27),186cm,Diego Llorente,1,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Goalkeeper,26/12/1986 (34),188cm,Hugo Lloris,275,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Midfielder,09/04/1996 (24),177cm,Giovani Lo Celso,39,1,0.03,27,8,30%,3,"1,193",30.59,3,72,21%,9,0,43,0,64,61%,7,11,19,176,198,17,33,35
England,Midfielder,23/01/1996 (24),191cm,Ruben Loftus-Cheek,88,10,0.11,85,22,26%,6,"2,080",23.64,8,20,20%,2,0,49,6,62,71%,31,46,47,393,395,74,117,142
England,Goalkeeper,19/10/1983,192cm,Andy Lonergan,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,18/08/1990 (30),188cm,Kevin Long,40,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,27/12/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,06/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,24/02/2001,168cm,Luis Longstaff,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,20/10/1997 (23),174cm,Ademola Lookman,48,3,0.06,60,23,38%,5,785,16.35,7,39,,,,,,,,,,,,,,,
Denmark,Goalkeeper,01/02/1989 (31),195cm,Jonas Lössl,69,0,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Defender,05/07/1989,188cm,Dejan Lovren,162,7,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,11/05/1997 (23),175cm,Max Lowe,6,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,09/06/1989 (31),180cm,Matthew Lowton,182,2,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,13/08/1992 (28),172cm,Lucas Moura,85,15,0.18,111,39,35%,5,"1,780",20.94,7,48,,,,,,,,,,,,,,,
England,Midfielder,18/02/1994 (26),181cm,John Lundstram,46,5,0.11,54,15,28%,4,"1,527",33.2,9,102,19%,8,1,35,8,52,63%,13,38,50,126,175,32,42,25
Netherlands,Defender,10/03/2002,167cm,Ian Maatsen,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Midfielder,24/12/1998 (22),174cm,Alexis Mac Allister,13,1,0.08,9,2,22%,0,117,9,0,26,12%,0,0,5,1,13,54%,4,3,1,25,28,4,6,5
England,Goalkeeper,09/09/1994 (26),198cm,Matt Macey,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,23/11/1996 (24),175cm,James Maddison,81,16,0.2,183,52,28%,12,"3,325",41.05,22,483,29%,10,1,70,9,124,56%,62,27,11,454,379,19,64,112
England,Midfielder,03/11/1998,179cm,Jacob Maddox,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Defender,05/03/1993 (27),194cm,Harry Maguire,153,9,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Forward,21/02/1991 (29),179cm,Riyad Mahrez,209,61,0.29,451,196,43%,41,"6,405",30.65,85,771,,,,,,,,,,,,,,,
England,Midfielder,29/08/1997 (23),177cm,Ainsley Maitland-Niles,61,1,0.02,15,4,27%,3,"2,013",33,4,63,22%,6,2,38,2,110,64%,3,71,69,234,220,31,39,61
France,Midfielder,06/04/2001 (19),180cm,Anthony Mancini,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Senegal,Forward,10/04/1992 (28),175cm,Sadio Mané,208,90,0.43,480,207,43%,31,"6,468",31.1,46,299,,,,,,,,,,,,,,,
Spain,Defender,05/05/1994 (26),178cm,Javier Manquillo,96,1,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Defender,19/02/1989 (31),178cm,Marçal,10,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,20/07/1994 (26),180cm,Solly March,104,4,0.04,108,30,28%,8,"2,446",23.52,14,410,21%,6,0,86,16,167,54%,35,76,77,454,520,59,139,149
Spain,Defender,31/08/1993 (27),193cm,Pablo Marí,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Defender,15/01/2003,187cm,Christian Marques,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/11/1998,178cm,George Marsh,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
France,Forward,05/12/1995 (25),181cm,Anthony Martial,155,52,0.34,287,131,46%,26,"3,896",25.14,39,202,,,,,,,,,,,,,,,
England,Goalkeeper,22/01/1986 (34),185cm,David Martin,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Goalkeeper,02/09/1992 (28),195cm,Emiliano Martínez,29,0,,,,,,,,,,,,,,,,,,,,,,,,
The Democratic Republic Of Congo,Defender,07/11/1993 (27),179cm,Arthur Masuaku,90,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Midfielder,28/04/1988 (32),170cm,Juan Mata,268,51,0.19,366,136,37%,54,"11,557",43.12,69,"1,110",24%,19,1,135,104,197,71%,100,133,65,621,906,23,70,174
Brazil,Forward,05/05/1996 (24),175cm,Matheus Pereira,11,1,0.09,17,5,29%,3,325,29.55,2,42,,,,,,,,,,,,,,,
Serbia,Midfielder,01/08/1988 (32),194cm,Nemanja Matic,215,6,0.03,137,37,27%,19,"12,839",59.72,11,92,20%,37,3,239,14,500,69%,46,347,406,"1,226","1,036",353,243,242
Cameroon,Defender,08/08/1991 (29),195cm,Joel Matip,93,5,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,21/03/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Forward,14/08/1996 (24),173cm,Neal Maupay,50,15,0.3,129,53,41%,4,925,18.5,5,16,,,,,,,,,,,,,,,
England,Defender,19/01/1994,189cm,Alfie Mawson,80,6,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,07/10/1987 (33),178cm,James McArthur,294,23,0.08,217,64,29%,19,"10,598",36.05,22,144,17%,48,0,393,13,643,71%,69,408,327,"1,367","1,513",329,394,163
Scotland,Forward,04/06/1996 (24),188cm,Oliver McBurnie,65,7,0.11,81,40,49%,1,"1,005",15.46,3,15,,,,,,,,,,,,,,,
Northern Ireland,Midfielder,25/03/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,07/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,12/11/1990 (30),180cm,James McCarthy,261,13,0.05,179,47,26%,12,"10,920",41.84,8,188,28%,48,1,309,2,681,73%,66,423,369,"1,204","1,020",152,168,124
England,Midfielder,21/01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,04/11/1988 (32),192cm,Kevin McDonald,41,1,0.02,19,3,16%,1,"1,285",31.34,0,19,11%,9,1,33,2,60,70%,7,43,37,117,116,28,13,10
England,Midfielder,30/08/2000,172cm,George McEachran,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Scotland,Midfielder,18/10/1994 (26),178cm,John McGinn,42,4,0.1,71,22,31%,7,"1,173",27.93,6,92,23%,7,0,51,1,73,64%,15,37,25,277,263,26,51,75
Ireland,Forward,29/11/1987 (33),183cm,David McGoldrick,41,6,0.15,63,28,44%,3,869,21.2,5,14,,,,,,,,,,,,,,,
England,Midfielder,09/01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,05/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,22/11/1999 (21),183cm,Dwight McNeil,73,5,0.07,82,20,24%,12,"1,889",25.88,19,461,,,,,,,,,,,,,,,
England,Defender,06/02/1995,180cm,Sam McQueen,20,0,20,2,0,2%,0,364,18.2,1,41,10%,0,0,3,1,20,80%,0,18,28,46,33,21,12,2
Scotland,Midfielder,08/12/1996 (24),193cm,Scott McTominay,70,8,0.11,55,19,35%,2,"2,338",33.4,4,25,20%,6,0,73,1,87,57%,19,77,78,343,259,105,79,47
England,Defender,09/07/2000,195cm,Zech Medley,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/09/1989 (31),180cm,Ben Mee,174,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,20/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Goalkeeper,01/03/1992 (28),197cm,Édouard Mendy,12,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,30/04/2002 (18),183cm,Teden Mengi,0,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Goalkeeper,02/03/2000 (20),193cm,Illan Meslier,15,0,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Midfielder,18/09/1995 (25),173cm,Max Meyer,46,1,0.02,47,10,21%,2,864,18.78,0,33,15%,4,0,16,3,52,56%,14,22,20,111,110,6,25,19
Poland,Goalkeeper,15/08/1996,192cm,Kamil Miazek,0,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Defender,19/07/1995,191cm,Matt Miazga,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Midfielder,07/04/1991 (29),186cm,Luka Milivojevic,131,27,0.21,154,58,38%,4,"6,026",46,9,392,27%,38,1,220,2,279,63%,44,236,218,638,624,177,141,58
Canada,Forward,27/09/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,04/01/1986 (34),175cm,James Milner,546,55,0.1,497,151,30%,85,"16,340",29.93,47,"2,264",23%,65,3,442,45,810,78%,175,438,427,"1,858","2,243",341,520,312
Colombia,Defender,23/09/1994 (26),195cm,Yerry Mina,55,5,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Forward,16/01/1995 (25),174cm,Takumi Minamino,18,1,0.06,14,5,36%,0,239,13.28,0,4,,,,,,,,,,,,,,,
England,Defender,13/03/1993 (27),196cm,Tyrone Mings,63,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,01/09/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Forward,16/09/1994 (26),189cm,Aleksandar Mitrovic,90,23,0.26,248,90,36%,9,"2,008",22.31,9,16,,,,,,,,,,,,,,,
Armenia,Midfielder,21/01/1989,177cm,Henrikh Mkhitaryan,78,13,0.17,120,46,38%,14,"2,620",33.59,27,199,17%,5,0,71,16,84,74%,33,53,29,282,414,52,73,81
Slovenia,Forward,23/10/1998,183cm,Jan Mlakar,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Poland,Midfielder,07/04/1999,188cm,Jakub Moder,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Egypt,Midfielder,11/07/1992 (28),180cm,Mohamed Elneny,55,0,55,47,5,11%,3,"2,954",53.71,2,31,13%,9,1,28,2,62,55%,22,50,52,124,136,20,47,13
Egypt,Forward,15/06/1992 (28),175cm,Mohamed Salah,135,88,0.65,486,222,46%,32,"3,782",28.01,47,205,,,,,,,,,,,,,,,
Ireland,Midfielder,06/08/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Defender,14/04/1991,175cm,Martín Montoya,52,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,19/05/1990 (30),191cm,Simon Moore,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Midfielder,15/09/1990,174cm,Aaron Mooy,96,9,0.09,105,29,28%,6,"4,150",43.23,13,431,23%,10,1,65,3,201,63%,37,76,96,377,431,63,91,76
Spain,Forward,23/10/1992,190cm,Álvaro Morata,47,16,0.34,114,50,44%,6,805,17.13,4,22,,,,,,,,,,,,,,,
Spain,Forward,03/05/2002,174cm,Pablo Moreno,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Jamaica,Defender,21/01/1984 (36),186cm,Wes Morgan,170,8,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Midfielder,02/02/1993,175cm,Ravel Morrison,18,3,0.17,22,4,18%,2,554,30.78,0,10,10%,5,0,13,2,16,88%,6,11,4,75,86,8,17,33
Nigeria,Midfielder,12/12/1990,177cm,Victor Moses,220,20,0.09,323,92,28%,18,"4,627",21.03,25,578,20%,16,0,169,54,217,76%,91,153,109,945,"1,042",118,210,353
England,Midfielder,10/01/1999 (21),178cm,Mason Mount,52,8,0.15,107,38,36%,8,"1,969",37.87,14,202,28%,5,0,58,5,67,49%,36,32,26,199,290,24,66,58
France,Forward,08/02/1996 (24),184cm,Lys Mousset,92,9,0.1,84,26,31%,4,606,6.59,10,19,,,,,,,,,,,,,,,
Sweden,Forward,09/01/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Goalkeeper,07/11/1998,198cm,Arijanet Muric,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,24/02/1995 (25),179cm,Jacob Murphy,42,2,0.05,34,11,32%,3,460,10.95,5,77,19%,2,0,23,2,28,68%,10,14,22,108,160,12,33,53
England,Forward,25/09/1983,183cm,Glenn Murray,148,37,0.25,201,86,43%,6,"1,966",13.28,12,34,,,,,,,,,,,,,,,
Zimbabwe,Forward,21/08/1998,183cm,Admiral Muskwe,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Germany,Defender,17/04/1992 (28),184cm,Shkodran Mustafi,102,7,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Forward,15/07/1992,178cm,Yoshinori Muto,25,1,0.04,7,3,43%,0,145,5.8,0,5,,,,,,,,,,,,,,,
England,Forward,05/02/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Midfielder,19/01/1994 (26),178cm,Marvelous Nakamba,33,0,33,8,2,25%,0,819,24.82,0,4,4%,6,0,31,0,56,52%,0,40,33,118,116,23,30,14
Nigeria,Midfielder,16/12/1996 (24),183cm,Wilfred Ndidi,127,6,0.05,155,24,15%,5,"6,426",50.6,3,28,4%,22,2,199,5,502,63%,42,262,305,"1,097",892,406,333,104
France,Midfielder,28/12/1996 (24),181cm,Tanguy Ndombele,34,4,0.12,16,8,50%,3,"1,008",29.65,3,15,20%,5,0,23,0,37,59%,5,22,12,154,120,9,19,60
Wales,Defender,13/04/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,10/12/1999 (21),175cm,Reiss Nelson,22,1,0.05,14,4,29%,0,303,13.77,0,36,,,,,,,,,,,,,,,
Portugal,Defender,16/11/1993 (27),177cm,Nélson Semedo,13,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,30/05/1999 (21),175cm,Eddie Nketiah,33,4,0.12,25,11,44%,1,234,7.09,2,2,,,,,,,,,,,,,,,
France,Defender,01/11/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,10/10/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,08/05/1987 (33),180cm,Mark Noble,390,46,0.12,332,114,34%,35,"17,956",46.04,35,960,32%,82,5,381,27,862,70%,91,569,264,"1,613","1,542",99,133,243
England,Goalkeeper,19/01/1997,192cm,Magnus Norman,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Defender,22/04/1999,181cm,Rhys Norrington-Davies,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,12/08/1993 (27),195cm,Will Norris,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Midfielder,12/04/1991 (29),180cm,Oliver Norwood,47,1,0.02,17,6,35%,1,"2,318",49.32,6,228,27%,9,0,38,1,73,53%,5,53,44,147,157,47,32,9
Norway,Goalkeeper,10/09/1990,192cm,Ørjan Nyland,7,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,29/03/1994 (26),190cm,Jack O'Connell,35,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,19/04/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Midfielder,04/07/1998,178cm,Aiden O'Neill,3,0,3,1,0,1%,0,51,17,0,1,1%,0,0,1,0,2,50%,1,0,1,3,6,1,1,0
England,Midfielder,21/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,04/03/1999 (21),188cm,Dara O'Shea,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Forward,06/07/2000 (20),169cm,Michael Obafemi,29,4,0.14,20,8,40%,3,159,5.48,3,3,,,,,,,,,,,,,,,
Belgium,Defender,27/05/1988 (32),178cm,Denis Odoi,34,0,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Defender,23/05/1988 (32),191cm,Angelo Ogbonna,150,6,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,19/06/1997,177cm,Sheyi Ojo,8,0,8,5,1,20%,3,140,17.5,2,19,21%,0,0,3,0,9,78%,3,2,1,32,31,2,6,13
England,Defender,26/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Goalkeeper,08/01/1990 (30),196cm,Robin Olsen,2,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,27/04/1997 (23),185cm,Josh Onomah,15,0,15,4,2,50%,0,109,7.27,0,5,5%,0,0,4,1,10,90%,1,1,2,17,17,3,2,3
England,Defender,14/10/1998,189cm,Jerome Opoku,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Forward,18/04/1995 (25),185cm,Divock Origi,94,19,0.2,89,39,44%,6,865,9.2,3,68,,,,,,,,,,,,,,,
England,Midfielder,05/08/1994 (26),176cm,Ben Osborn,22,0,22,5,2,40%,0,440,20,3,42,24%,1,0,14,1,28,50%,2,11,12,58,64,10,13,9
Argentina,Defender,12/02/1988,183cm,Nicolás Otamendi,136,8,,,,,,,,,,,,,,,,,,,,,,,,
United States,Midfielder,06/01/2001 (19),183cm,Owen Otasowie,3,0,3,1,0,1%,1,39,13,0,0,0%,1,0,3,0,4,100%,0,3,3,15,12,7,6,1
England,Midfielder,15/08/1993 (27),180cm,Alex Oxlade-Chamberlain,198,16,0.08,239,65,27%,23,"4,587",23.17,28,423,20%,10,0,104,13,189,74%,88,133,75,709,705,76,131,345
England,Defender,03/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Midfielder,15/10/1988 (32),180cm,Mesut Özil,184,33,0.18,205,92,45%,54,"11,186",60.79,65,834,35%,13,0,95,83,161,68%,58,75,37,625,744,28,83,248
Spain,Midfielder,11/04/1985 (35),173cm,Pablo Hernández,63,5,0.08,84,22,26%,15,"2,480",39.37,13,187,17%,5,0,29,10,57,67%,24,54,26,164,259,6,34,56
England,Midfielder,06/05/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Defender,24/04/1997,187cm,Erik Palmer-Brown,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Forward,24/10/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Forward,04/02/2002,185cm,Troy Parrott,2,0,2,0,0,0%,0,4,2,0,0,,,,,,,,,,,,,,,
Ghana,Midfielder,13/06/1993 (27),185cm,Thomas Partey,5,0,5,5,2,40%,0,192,38.4,0,1,1%,1,0,4,0,10,60%,0,4,2,25,13,4,1,8
Croatia,Midfielder,09/02/1995,188cm,Mario Pasalic,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Northern Ireland,Goalkeeper,29/10/1996 (24),193cm,Bailey Peacock-Farrell,1,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,18/09/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Forward,28/07/1987,169cm,Pedro,137,29,0.21,251,88,35%,16,"3,953",28.85,17,282,,,,,,,,,,,,,,,
Portugal,Forward,09/03/2000 (20),172cm,Pedro Neto,44,7,0.16,45,16,36%,6,821,18.66,9,140,,,,,,,,,,,,,,,
Uruguay,Midfielder,20/12/2001 (19),175cm,Facundo Pellistri,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Defender,11/12/1986 (34),178cm,Lee Peltier,21,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,06/10/1994,185cm,Matthew Pennington,7,1,,,,,,,,,,,,,,,,,,,,,,,,
Cote D'Ivoire,Forward,29/05/1995 (25),183cm,Nicolas Pépé,42,7,0.17,63,23,37%,6,844,20.1,8,128,,,,,,,,,,,,,,,
Spain,Goalkeeper,31/08/1982,188cm,Pepe Reina,297,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Forward,29/07/1993 (27),178cm,Ayoze Pérez,185,42,0.23,288,118,41%,13,"3,577",19.34,26,207,,,,,,,,,,,,,,,
England,Midfielder,15/07/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,02/12/1995 (25),178cm,Kalvin Phillips,12,0,12,6,2,33%,2,683,56.92,1,37,32%,4,0,13,0,32,59%,1,21,22,67,62,11,19,6
England,Goalkeeper,07/03/1994 (26),185cm,Jordan Pickford,158,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,10/12/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,07/08/1988 (32),183cm,Erik Pieters,200,1,,,,,,,,,,,,,,,,,,,,,,,,
France,Midfielder,15/03/1993 (27),191cm,Paul Pogba,122,26,0.21,306,112,37%,26,"7,542",61.82,22,110,14%,20,1,208,14,168,68%,83,90,128,879,818,239,174,253
England,Goalkeeper,19/04/1992 (28),191cm,Nick Pope,86,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Defender,13/09/1999,176cm,Pedro Porro,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,09/02/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Midfielder,14/05/1994 (26),181cm,Dennis Praet,40,2,0.05,24,5,21%,3,776,19.4,5,39,15%,2,0,30,1,47,53%,12,24,15,87,126,8,22,18
Netherlands,Midfielder,02/09/1991 (29),185cm,Davy Pröpper,100,2,0.02,80,15,19%,7,"4,384",43.84,7,67,15%,8,1,105,3,187,57%,22,151,134,456,472,112,89,112
Spain,Midfielder,10/01/2001,173cm,Arnau Puigmal,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
